onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
30.164	n/a	15082	seqLearning_start	91	n/a	n/a	8
36.448	n/a	18224	learningBlock_1	31	n/a	n/a	8
36.504	n/a	18252	dot_no1_ON	11	n/a	n/a	8
37.094	n/a	18547	dot_no1_OFF	21	n/a	n/a	8
38.414	n/a	19207	dot_no6_ON	16	n/a	n/a	8
38.994	n/a	19497	dot_no6_OFF	26	n/a	n/a	8
40.314	n/a	20157	dot_no4_ON	14	n/a	n/a	8
40.894	n/a	20447	dot_no4_OFF	24	n/a	n/a	8
42.214	n/a	21107	dot_no2_ON	12	n/a	n/a	8
42.804	n/a	21402	dot_no2_OFF	22	n/a	n/a	8
44.124	n/a	22062	dot_no7_ON	17	n/a	n/a	8
44.704	n/a	22352	dot_no7_OFF	27	n/a	n/a	8
46.024	n/a	23012	dot_no3_ON	13	n/a	n/a	8
46.604	n/a	23302	dot_no3_OFF	23	n/a	n/a	8
47.924	n/a	23962	dot_no8_ON	18	n/a	n/a	8
48.514	n/a	24257	dot_no8_OFF	28	n/a	n/a	8
49.834	n/a	24917	dot_no5_ON	15	n/a	n/a	8
50.414	n/a	25207	dot_no5_OFF	25	n/a	n/a	8
51.734	n/a	25867	dot_no2_ON	12	n/a	n/a	8
52.314	n/a	26157	dot_no2_OFF	22	n/a	n/a	8
53.634	n/a	26817	dot_no7_ON	17	n/a	n/a	8
54.214	n/a	27107	dot_no7_OFF	27	3-2-1-8-7-6-5-4-3-3	1-6-4-2-7-3-8-5-2-7	8
89.898	n/a	44949	learningBlock_2	32	n/a	n/a	8
89.904	n/a	44952	dot_no1_ON	11	n/a	n/a	8
90.484	n/a	45242	dot_no1_OFF	21	n/a	n/a	8
91.804	n/a	45902	dot_no6_ON	16	n/a	n/a	8
92.384	n/a	46192	dot_no6_OFF	26	n/a	n/a	8
93.704	n/a	46852	dot_no4_ON	14	n/a	n/a	8
94.294	n/a	47147	dot_no4_OFF	24	n/a	n/a	8
95.614	n/a	47807	dot_no2_ON	12	n/a	n/a	8
96.204	n/a	48102	dot_no2_OFF	22	n/a	n/a	8
97.526	n/a	48763	dot_no7_ON	17	n/a	n/a	8
98.104	n/a	49052	dot_no7_OFF	27	n/a	n/a	8
99.424	n/a	49712	dot_no3_ON	13	n/a	n/a	8
100.004	n/a	50002	dot_no3_OFF	23	n/a	n/a	8
101.324	n/a	50662	dot_no8_ON	18	n/a	n/a	8
101.914	n/a	50957	dot_no8_OFF	28	n/a	n/a	8
103.234	n/a	51617	dot_no5_ON	15	n/a	n/a	8
103.814	n/a	51907	dot_no5_OFF	25	n/a	n/a	8
105.134	n/a	52567	dot_no2_ON	12	n/a	n/a	8
105.714	n/a	52857	dot_no2_OFF	22	n/a	n/a	8
107.034	n/a	53517	dot_no7_ON	17	n/a	n/a	8
